benchmark                                        old ns/op     new ns/op     delta
Benchmark_easyjson_Marshal-8                     680618        675847        -0.70%
Benchmark_easyjson_Marshal_lexer-8               655303        679581        +3.70%
Benchmark_easyjson_Unmarshal_Full-8              940131        958279        +1.93%
Benchmark_easyjson_Unmarshal_Min-8               797940        816904        +2.38%
Benchmark_easyjson_Unmarshal_Full_lexer-8        958738        966588        +0.82%
Benchmark_easyjson_Unmarshal_Min_lexer-8         844735        820686        -2.85%
Benchmark_ffjson_Marshal_simple-8                462506        464815        +0.50%
Benchmark_ffjson_Marshal_simple_pooling-8        457879        446057        -2.58%
Benchmark_ffjson_Marshal_generated-8             588794        596645        +1.33%
Benchmark_ffjson_Unmarshal_Full_simple-8         2598707       2639807       +1.58%
Benchmark_ffjson_Unmarshal_Min_simple-8          2186475       2210781       +1.11%
Benchmark_ffjson_Unmarshal_Full_generated-8      4430660       784303        -82.30%
Benchmark_ffjson_Unmarshal_Min_generated-8       3401857       737041        -78.33%
Benchmark_jsoniterator_Marshal-8                 479478        476452        -0.63%
Benchmark_jsoniterator_Marshal_fast-8            473341        470166        -0.67%
Benchmark_jsoniterator_Unmarshal_Full-8          1159307       1143557       -1.36%
Benchmark_jsoniterator_Unmarshal_Min-8           1101786       1061006       -3.70%
Benchmark_jsoniterator_Unmarshal_Full_fast-8     1130189       1128289       -0.17%
Benchmark_jsoniterator_Unmarshal_Min_fast-8      1082244       1071429       -1.00%
Benchmark_msgpack_vmihailenco_Marshal-8          34080         31730         -6.90%
Benchmark_msgpack_vmihailenco_Unmarshal-8        445223        428048        -3.86%
Benchmark_std_Marshal-8                          471003        466598        -0.94%
Benchmark_std_Unmarshal_Full-8                   2610890       2572388       -1.47%
Benchmark_std_Unmarshal_Min-8                    2186376       2174685       -0.53%

benchmark                                        old allocs     new allocs     delta
Benchmark_easyjson_Marshal-8                     16             16             +0.00%
Benchmark_easyjson_Marshal_lexer-8               16             16             +0.00%
Benchmark_easyjson_Unmarshal_Full-8              1146           1146           +0.00%
Benchmark_easyjson_Unmarshal_Min-8               1146           1146           +0.00%
Benchmark_easyjson_Unmarshal_Full_lexer-8        1146           1146           +0.00%
Benchmark_easyjson_Unmarshal_Min_lexer-8         1146           1146           +0.00%
Benchmark_ffjson_Marshal_simple-8                2              2              +0.00%
Benchmark_ffjson_Marshal_simple_pooling-8        3              3              +0.00%
Benchmark_ffjson_Marshal_generated-8             1502           1502           +0.00%
Benchmark_ffjson_Unmarshal_Full_simple-8         1659           1659           +0.00%
Benchmark_ffjson_Unmarshal_Min_simple-8          1659           1659           +0.00%
Benchmark_ffjson_Unmarshal_Full_generated-8      1687           1010           -40.13%
Benchmark_ffjson_Unmarshal_Min_generated-8       1687           1010           -40.13%
Benchmark_jsoniterator_Marshal-8                 2              2              +0.00%
Benchmark_jsoniterator_Marshal_fast-8            2              2              +0.00%
Benchmark_jsoniterator_Unmarshal_Full-8          2816           2816           +0.00%
Benchmark_jsoniterator_Unmarshal_Min-8           2816           2816           +0.00%
Benchmark_jsoniterator_Unmarshal_Full_fast-8     2108           2108           +0.00%
Benchmark_jsoniterator_Unmarshal_Min_fast-8      2108           2108           +0.00%
Benchmark_msgpack_vmihailenco_Marshal-8          6              6              +0.00%
Benchmark_msgpack_vmihailenco_Unmarshal-8        2914           2914           +0.00%
Benchmark_std_Marshal-8                          2              2              +0.00%
Benchmark_std_Unmarshal_Full-8                   1659           1659           +0.00%
Benchmark_std_Unmarshal_Min-8                    1659           1659           +0.00%

benchmark                                        old bytes     new bytes     delta
Benchmark_easyjson_Marshal-8                     174994        174991        -0.00%
Benchmark_easyjson_Marshal_lexer-8               174991        175119        +0.07%
Benchmark_easyjson_Unmarshal_Full-8              320289        320289        +0.00%
Benchmark_easyjson_Unmarshal_Min-8               320289        320289        +0.00%
Benchmark_easyjson_Unmarshal_Full_lexer-8        320290        320289        -0.00%
Benchmark_easyjson_Unmarshal_Min_lexer-8         320290        320289        -0.00%
Benchmark_ffjson_Marshal_simple-8                182646        182091        -0.30%
Benchmark_ffjson_Marshal_simple_pooling-8        176254        175394        -0.49%
Benchmark_ffjson_Marshal_generated-8             434590        434371        -0.05%
Benchmark_ffjson_Unmarshal_Full_simple-8         349666        349666        +0.00%
Benchmark_ffjson_Unmarshal_Min_simple-8          349666        349665        -0.00%
Benchmark_ffjson_Unmarshal_Full_generated-8      638456        214991        -66.33%
Benchmark_ffjson_Unmarshal_Min_generated-8       637813        214990        -66.29%
Benchmark_jsoniterator_Marshal-8                 181348        183039        +0.93%
Benchmark_jsoniterator_Marshal_fast-8            181019        182647        +0.90%
Benchmark_jsoniterator_Unmarshal_Full-8          613879        613877        -0.00%
Benchmark_jsoniterator_Unmarshal_Min-8           613877        613877        +0.00%
Benchmark_jsoniterator_Unmarshal_Full_fast-8     603565        603566        +0.00%
Benchmark_jsoniterator_Unmarshal_Min_fast-8      603566        603566        +0.00%
Benchmark_msgpack_vmihailenco_Marshal-8          164080        164080        +0.00%
Benchmark_msgpack_vmihailenco_Unmarshal-8        217744        217744        +0.00%
Benchmark_std_Marshal-8                          183035        183459        +0.23%
Benchmark_std_Unmarshal_Full-8                   349664        349665        +0.00%
Benchmark_std_Unmarshal_Min-8                    349666        349665        -0.00%
