benchmark                                        old ns/op     new ns/op     delta
Benchmark_easyjson_Marshal-4                     694860        629377        -9.42%
Benchmark_easyjson_Marshal_lexer-4               704054        627446        -10.88%
Benchmark_easyjson_Unmarshal_Full-4              1167865       1074901       -7.96%
Benchmark_easyjson_Unmarshal_Min-4               938205        909896        -3.02%
Benchmark_easyjson_Unmarshal_Full_lexer-4        1113408       1077787       -3.20%
Benchmark_easyjson_Unmarshal_Min_lexer-4         928399        911578        -1.81%
Benchmark_ffjson_Marshal_simple-4                560600        455004        -18.84%
Benchmark_ffjson_Marshal_simple_pooling-4        551037        410855        -25.44%
Benchmark_ffjson_Marshal_generated-4             732218        694523        -5.15%
Benchmark_ffjson_Unmarshal_Full_simple-4         3470857       2554858       -26.39%
Benchmark_ffjson_Unmarshal_Min_simple-4          3008480       2176288       -27.66%
Benchmark_ffjson_Unmarshal_Full_generated-4      910375        909629        -0.08%
Benchmark_ffjson_Unmarshal_Min_generated-4       832883        865734        +3.94%
Benchmark_jsoniterator_Marshal-4                 497696        493877        -0.77%
Benchmark_jsoniterator_Marshal_fast-4            483571        484857        +0.27%
Benchmark_jsoniterator_Unmarshal_Full-4          1320642       1360309       +3.00%
Benchmark_jsoniterator_Unmarshal_Min-4           1254914       1302185       +3.77%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     1298931       1338005       +3.01%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      1234806       1275244       +3.27%
Benchmark_msgpack_vmihailenco_Marshal-4          36088         39127         +8.42%
Benchmark_msgpack_vmihailenco_Unmarshal-4        534900        527506        -1.38%
Benchmark_std_Marshal-4                          551902        459394        -16.76%
Benchmark_std_Unmarshal_Full-4                   3429728       2586071       -24.60%
Benchmark_std_Unmarshal_Min-4                    2993079       2201790       -26.44%

benchmark                                        old allocs     new allocs     delta
Benchmark_ffjson_Marshal_generated-4             1502           1501           -0.07%
Benchmark_ffjson_Unmarshal_Full_simple-4         1655           1659           +0.24%
Benchmark_ffjson_Unmarshal_Min_simple-4          1655           1659           +0.24%
Benchmark_ffjson_Unmarshal_Full_generated-4      1011           1010           -0.10%
Benchmark_ffjson_Unmarshal_Min_generated-4       1011           1010           -0.10%
Benchmark_jsoniterator_Unmarshal_Full-4          2877           2816           -2.12%
Benchmark_jsoniterator_Unmarshal_Min-4           2877           2816           -2.12%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     2169           2108           -2.81%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      2169           2108           -2.81%
Benchmark_msgpack_vmihailenco_Marshal-4          5              6              +20.00%
Benchmark_std_Unmarshal_Full-4                   1655           1659           +0.24%
Benchmark_std_Unmarshal_Min-4                    1655           1659           +0.24%

benchmark                                        old bytes     new bytes     delta
Benchmark_easyjson_Marshal-4                     173646        173814        +0.10%
Benchmark_easyjson_Marshal_lexer-4               173638        173909        +0.16%
Benchmark_easyjson_Unmarshal_Min-4               320288        320289        +0.00%
Benchmark_easyjson_Unmarshal_Full_lexer-4        320289        320290        +0.00%
Benchmark_easyjson_Unmarshal_Min_lexer-4         320288        320291        +0.00%
Benchmark_ffjson_Marshal_simple-4                177264        177902        +0.36%
Benchmark_ffjson_Marshal_simple_pooling-4        177714        174937        -1.56%
Benchmark_ffjson_Marshal_generated-4             433329        432278        -0.24%
Benchmark_ffjson_Unmarshal_Full_simple-4         349408        349668        +0.07%
Benchmark_ffjson_Unmarshal_Min_simple-4          349408        349668        +0.07%
Benchmark_ffjson_Unmarshal_Full_generated-4      214933        214829        -0.05%
Benchmark_ffjson_Unmarshal_Min_generated-4       214932        214820        -0.05%
Benchmark_jsoniterator_Marshal-4                 179118        177727        -0.78%
Benchmark_jsoniterator_Marshal_fast-4            178474        178183        -0.16%
Benchmark_jsoniterator_Unmarshal_Full-4          615412        613773        -0.27%
Benchmark_jsoniterator_Unmarshal_Min-4           615412        613772        -0.27%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     605105        603464        -0.27%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      605105        603462        -0.27%
Benchmark_std_Marshal-4                          176970        177531        +0.32%
Benchmark_std_Unmarshal_Full-4                   349408        349666        +0.07%
Benchmark_std_Unmarshal_Min-4                    349408        349667        +0.07%
