benchmark                                        old ns/op     new ns/op     delta
Benchmark_easyjson_Marshal-4                     608611        627824        +3.16%
Benchmark_easyjson_Marshal_lexer-4               597866        619305        +3.59%
Benchmark_easyjson_Unmarshal_Full-4              1052504       1067339       +1.41%
Benchmark_easyjson_Unmarshal_Min-4               904700        910280        +0.62%
Benchmark_easyjson_Unmarshal_Full_lexer-4        1051424       1079019       +2.62%
Benchmark_easyjson_Unmarshal_Min_lexer-4         893878        913498        +2.19%
Benchmark_ffjson_Marshal_simple-4                443825        462408        +4.19%
Benchmark_ffjson_Marshal_simple_pooling-4        445067        418450        -5.98%
Benchmark_ffjson_Marshal_generated-4             651874        701555        +7.62%
Benchmark_ffjson_Unmarshal_Full_simple-4         3321658       2609672       -21.43%
Benchmark_ffjson_Unmarshal_Min_simple-4          2884785       2251020       -21.97%
Benchmark_ffjson_Unmarshal_Full_generated-4      861470        914319        +6.13%
Benchmark_ffjson_Unmarshal_Min_generated-4       811723        844495        +4.04%
Benchmark_jsoniterator_Marshal-4                 473627        490734        +3.61%
Benchmark_jsoniterator_Marshal_fast-4            463498        486271        +4.91%
Benchmark_jsoniterator_Unmarshal_Full-4          1271024       1379697       +8.55%
Benchmark_jsoniterator_Unmarshal_Min-4           1221668       1316086       +7.73%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     1252551       1340666       +7.03%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      1188355       1284890       +8.12%
Benchmark_msgpack_vmihailenco_Marshal-4          33898         39698         +17.11%
Benchmark_msgpack_vmihailenco_Unmarshal-4        493865        524200        +6.14%
Benchmark_std_Marshal-4                          448964        465422        +3.67%
Benchmark_std_Unmarshal_Full-4                   3305551       2618486       -20.79%
Benchmark_std_Unmarshal_Min-4                    2896155       2211588       -23.64%

benchmark                                       old allocs     new allocs     delta
Benchmark_ffjson_Marshal_generated-4            1502           1501           -0.07%
Benchmark_ffjson_Unmarshal_Full_simple-4        1655           1659           +0.24%
Benchmark_ffjson_Unmarshal_Min_simple-4         1655           1659           +0.24%
Benchmark_ffjson_Unmarshal_Full_generated-4     1011           1010           -0.10%
Benchmark_ffjson_Unmarshal_Min_generated-4      1011           1010           -0.10%
Benchmark_std_Unmarshal_Full-4                  1655           1659           +0.24%
Benchmark_std_Unmarshal_Min-4                   1655           1659           +0.24%

benchmark                                        old bytes     new bytes     delta
Benchmark_easyjson_Marshal-4                     173778        173848        +0.04%
Benchmark_easyjson_Marshal_lexer-4               173750        173815        +0.04%
Benchmark_easyjson_Unmarshal_Min-4               320289        320290        +0.00%
Benchmark_ffjson_Marshal_simple-4                176237        176679        +0.25%
Benchmark_ffjson_Marshal_simple_pooling-4        176185        174859        -0.75%
Benchmark_ffjson_Marshal_generated-4             434165        432370        -0.41%
Benchmark_ffjson_Unmarshal_Full_simple-4         349414        349668        +0.07%
Benchmark_ffjson_Unmarshal_Min_simple-4          349412        349667        +0.07%
Benchmark_ffjson_Unmarshal_Full_generated-4      214966        214831        -0.06%
Benchmark_ffjson_Unmarshal_Min_generated-4       214991        214801        -0.09%
Benchmark_jsoniterator_Marshal-4                 179246        176437        -1.57%
Benchmark_jsoniterator_Marshal_fast-4            177788        177159        -0.35%
Benchmark_jsoniterator_Unmarshal_Full-4          613786        613773        -0.00%
Benchmark_jsoniterator_Unmarshal_Min-4           613788        613774        -0.00%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     603478        603467        -0.00%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      603478        603466        -0.00%
Benchmark_std_Marshal-4                          176529        177760        +0.70%
Benchmark_std_Unmarshal_Full-4                   349413        349667        +0.07%
Benchmark_std_Unmarshal_Min-4                    349412        349667        +0.07%
